id;domain;priority;method;control;scenario;evidence;acceptance;initial_state
IA-077;5. IA tática;P0;AUTO;Ausência de ação dominante;Comparar distribuição de ações por zona.;histograma de decisões;Nenhuma ação concentra participação anormal sem justificativa tática.;PENDENTE 2.5D
IA-078;5. IA tática;P1;AUTO;Atributos influenciam sem determinar;Comparar atleta alto e baixo atributo em cenário igual.;probabilidades e resultados;Melhor atleta tem vantagem estatística, mas não sucesso garantido.;PENDENTE 2.5D
IA-079;5. IA tática;P0;DIR;Contexto supera rótulo;Trocar posição nominal mantendo mesma ocupação física.;decisões comparadas;IA responde à geometria, não apenas ao nome da posição/formação.;PENDENTE 2.5D
IA-080;5. IA tática;P1;AUTO;Explicabilidade de decisão crítica;Registrar chute, passe-chave, bote e saída do goleiro.;trace com fatores e pontuações;Cada decisão crítica apresenta fatores suficientes para reprodução e diagnóstico.;PENDENTE 2.5D
FOR-001;6. Formações e estilos;P0;AUTO+VIS;3-4-3: estrutura-base;Iniciar partida neutra com atletas de laboratório e observar posse, defesa e reinícios.;mapas médios de posição + vídeo;Onze atletas ocupam funções distintas, sem amontoamento sistemático ou posição fora do campo.;BASELINE R13.0
FOR-002;6. Formações e estilos;P0;AUTO;3-4-3: transições e equilíbrio;Executar mandos espelhados e duas seeds contra todas as demais formações.;PPG, saldo, ameaças e transições;"Nenhuma dominância fora dos limites; transições preservam cobertura compatível com o desenho.";BASELINE R13.0
FOR-003;6. Formações e estilos;P0;AUTO+VIS;4-2-4: estrutura-base;Iniciar partida neutra com atletas de laboratório e observar posse, defesa e reinícios.;mapas médios de posição + vídeo;Onze atletas ocupam funções distintas, sem amontoamento sistemático ou posição fora do campo.;BASELINE R13.0
FOR-004;6. Formações e estilos;P0;AUTO;4-2-4: transições e equilíbrio;Executar mandos espelhados e duas seeds contra todas as demais formações.;PPG, saldo, ameaças e transições;"Nenhuma dominância fora dos limites; transições preservam cobertura compatível com o desenho.";BASELINE R13.0
FOR-005;6. Formações e estilos;P1;AUTO+VIS;4-5-1: estrutura-base;Iniciar partida neutra com atletas de laboratório e observar posse, defesa e reinícios.;mapas médios de posição + vídeo;Onze atletas ocupam funções distintas, sem amontoamento sistemático ou posição fora do campo.;BASELINE R13.0
FOR-006;6. Formações e estilos;P0;AUTO;4-5-1: transições e equilíbrio;Executar mandos espelhados e duas seeds contra todas as demais formações.;PPG, saldo, ameaças e transições;"Nenhuma dominância fora dos limites; transições preservam cobertura compatível com o desenho.";BASELINE R13.0
FOR-007;6. Formações e estilos;P1;AUTO+VIS;3-5-2: estrutura-base;Iniciar partida neutra com atletas de laboratório e observar posse, defesa e reinícios.;mapas médios de posição + vídeo;Onze atletas ocupam funções distintas, sem amontoamento sistemático ou posição fora do campo.;BASELINE R13.0
FOR-008;6. Formações e estilos;P0;AUTO;3-5-2: transições e equilíbrio;Executar mandos espelhados e duas seeds contra todas as demais formações.;PPG, saldo, ameaças e transições;"Nenhuma dominância fora dos limites; transições preservam cobertura compatível com o desenho.";BASELINE R13.0
FOR-009;6. Formações e estilos;P1;AUTO+VIS;5-2-3: estrutura-base;Iniciar partida neutra com atletas de laboratório e observar posse, defesa e reinícios.;mapas médios de posição + vídeo;Onze atletas ocupam funções distintas, sem amontoamento sistemático ou posição fora do campo.;BASELINE R13.0
FOR-010;6. Formações e estilos;P0;AUTO;5-2-3: transições e equilíbrio;Executar mandos espelhados e duas seeds contra todas as demais formações.;PPG, saldo, ameaças e transições;"Nenhuma dominância fora dos limites; transições preservam cobertura compatível com o desenho.";BASELINE R13.0
FOR-011;6. Formações e estilos;P1;AUTO+VIS;4-1-2-1-2: estrutura-base;Iniciar partida neutra com atletas de laboratório e observar posse, defesa e reinícios.;mapas médios de posição + vídeo;Onze atletas ocupam funções distintas, sem amontoamento sistemático ou posição fora do campo.;BASELINE R13.0
FOR-012;6. Formações e estilos;P0;AUTO;4-1-2-1-2: transições e equilíbrio;Executar mandos espelhados e duas seeds contra todas as demais formações.;PPG, saldo, ameaças e transições;"Nenhuma dominância fora dos limites; transições preservam cobertura compatível com o desenho.";BASELINE R13.0
FOR-013;6. Formações e estilos;P1;AUTO+VIS;4-3-3: estrutura-base;Iniciar partida neutra com atletas de laboratório e observar posse, defesa e reinícios.;mapas médios de posição + vídeo;Onze atletas ocupam funções distintas, sem amontoamento sistemático ou posição fora do campo.;BASELINE R13.0
FOR-014;6. Formações e estilos;P0;AUTO;4-3-3: transições e equilíbrio;Executar mandos espelhados e duas seeds contra todas as demais formações.;PPG, saldo, ameaças e transições;"Nenhuma dominância fora dos limites; transições preservam cobertura compatível com o desenho.";BASELINE R13.0
FOR-015;6. Formações e estilos;P1;AUTO+VIS;3-1-4-2: estrutura-base;Iniciar partida neutra com atletas de laboratório e observar posse, defesa e reinícios.;mapas médios de posição + vídeo;Onze atletas ocupam funções distintas, sem amontoamento sistemático ou posição fora do campo.;BASELINE R13.0
FOR-016;6. Formações e estilos;P0;AUTO;3-1-4-2: transições e equilíbrio;Executar mandos espelhados e duas seeds contra todas as demais formações.;PPG, saldo, ameaças e transições;"Nenhuma dominância fora dos limites; transições preservam cobertura compatível com o desenho.";BASELINE R13.0
FOR-017;6. Formações e estilos;P1;AUTO+VIS;4-4-2: estrutura-base;Iniciar partida neutra com atletas de laboratório e observar posse, defesa e reinícios.;mapas médios de posição + vídeo;Onze atletas ocupam funções distintas, sem amontoamento sistemático ou posição fora do campo.;BASELINE R13.0
FOR-018;6. Formações e estilos;P0;AUTO;4-4-2: transições e equilíbrio;Executar mandos espelhados e duas seeds contra todas as demais formações.;PPG, saldo, ameaças e transições;"Nenhuma dominância fora dos limites; transições preservam cobertura compatível com o desenho.";BASELINE R13.0
FOR-019;6. Formações e estilos;P1;AUTO+VIS;4-1-4-1: estrutura-base;Iniciar partida neutra com atletas de laboratório e observar posse, defesa e reinícios.;mapas médios de posição + vídeo;Onze atletas ocupam funções distintas, sem amontoamento sistemático ou posição fora do campo.;BASELINE R13.0
FOR-020;6. Formações e estilos;P0;AUTO;4-1-4-1: transições e equilíbrio;Executar mandos espelhados e duas seeds contra todas as demais formações.;PPG, saldo, ameaças e transições;"Nenhuma dominância fora dos limites; transições preservam cobertura compatível com o desenho.";BASELINE R13.0
FOR-021;6. Formações e estilos;P1;AUTO+VIS;4-3-1-2: estrutura-base;Iniciar partida neutra com atletas de laboratório e observar posse, defesa e reinícios.;mapas médios de posição + vídeo;Onze atletas ocupam funções distintas, sem amontoamento sistemático ou posição fora do campo.;BASELINE R13.0
FOR-022;6. Formações e estilos;P0;AUTO;4-3-1-2: transições e equilíbrio;Executar mandos espelhados e duas seeds contra todas as demais formações.;PPG, saldo, ameaças e transições;"Nenhuma dominância fora dos limites; transições preservam cobertura compatível com o desenho.";BASELINE R13.0
FOR-023;6. Formações e estilos;P1;AUTO+VIS;4-2-2-2: estrutura-base;Iniciar partida neutra com atletas de laboratório e observar posse, defesa e reinícios.;mapas médios de posição + vídeo;Onze atletas ocupam funções distintas, sem amontoamento sistemático ou posição fora do campo.;BASELINE R13.0
FOR-024;6. Formações e estilos;P0;AUTO;4-2-2-2: transições e equilíbrio;Executar mandos espelhados e duas seeds contra todas as demais formações.;PPG, saldo, ameaças e transições;"Nenhuma dominância fora dos limites; transições preservam cobertura compatível com o desenho.";BASELINE R13.0
FOR-025;6. Formações e estilos;P1;AUTO+VIS;5-3-2: estrutura-base;Iniciar partida neutra com atletas de laboratório e observar posse, defesa e reinícios.;mapas médios de posição + vídeo;Onze atletas ocupam funções distintas, sem amontoamento sistemático ou posição fora do campo.;BASELINE R13.0
FOR-026;6. Formações e estilos;P0;AUTO;5-3-2: transições e equilíbrio;Executar mandos espelhados e duas seeds contra todas as demais formações.;PPG, saldo, ameaças e transições;"Nenhuma dominância fora dos limites; transições preservam cobertura compatível com o desenho.";BASELINE R13.0
FOR-027;6. Formações e estilos;P1;AUTO+VIS;4-3-2-1: estrutura-base;Iniciar partida neutra com atletas de laboratório e observar posse, defesa e reinícios.;mapas médios de posição + vídeo;Onze atletas ocupam funções distintas, sem amontoamento sistemático ou posição fora do campo.;BASELINE R13.0
FOR-028;6. Formações e estilos;P0;AUTO;4-3-2-1: transições e equilíbrio;Executar mandos espelhados e duas seeds contra todas as demais formações.;PPG, saldo, ameaças e transições;"Nenhuma dominância fora dos limites; transições preservam cobertura compatível com o desenho.";BASELINE R13.0
FOR-029;6. Formações e estilos;P1;AUTO+VIS;4-2-3-1: estrutura-base;Iniciar partida neutra com atletas de laboratório e observar posse, defesa e reinícios.;mapas médios de posição + vídeo;Onze atletas ocupam funções distintas, sem amontoamento sistemático ou posição fora do campo.;BASELINE R13.0
FOR-030;6. Formações e estilos;P0;AUTO;4-2-3-1: transições e equilíbrio;Executar mandos espelhados e duas seeds contra todas as demais formações.;PPG, saldo, ameaças e transições;"Nenhuma dominância fora dos limites; transições preservam cobertura compatível com o desenho.";BASELINE R13.0
FOR-031;6. Formações e estilos;P1;AUTO+VIS;3-4-2-1: estrutura-base;Iniciar partida neutra com atletas de laboratório e observar posse, defesa e reinícios.;mapas médios de posição + vídeo;Onze atletas ocupam funções distintas, sem amontoamento sistemático ou posição fora do campo.;BASELINE R13.0
FOR-032;6. Formações e estilos;P0;AUTO;3-4-2-1: transições e equilíbrio;Executar mandos espelhados e duas seeds contra todas as demais formações.;PPG, saldo, ameaças e transições;"Nenhuma dominância fora dos limites; transições preservam cobertura compatível com o desenho.";BASELINE R13.0
FOR-033;6. Formações e estilos;P0;AUTO+VIS;5-4-1: estrutura-base;Iniciar partida neutra com atletas de laboratório e observar posse, defesa e reinícios.;mapas médios de posição + vídeo;Onze atletas ocupam funções distintas, sem amontoamento sistemático ou posição fora do campo.;BASELINE R13.0
FOR-034;6. Formações e estilos;P0;AUTO;5-4-1: transições e equilíbrio;Executar mandos espelhados e duas seeds contra todas as demais formações.;PPG, saldo, ameaças e transições;"Nenhuma dominância fora dos limites; transições preservam cobertura compatível com o desenho.";BASELINE R13.0
FOR-035;6. Formações e estilos;P1;AUTO+PAINEL;Equilibrado: identidade observável;"Comparar 28 aparições neutras e clipes cegos; identidade esperada: alternância razoável entre circulação, pressão e proteção.";métricas por zona + avaliação humana;Métricas e observação distinguem o estilo sem regra direta de placar.;BASELINE R13.0
FOR-036;6. Formações e estilos;P0;AUTO;Equilibrado: ausência de dominância;Executar todos contra todos com 4-3-3 neutro.;PPG, saldo, chutes, passes e corners;Faixa de PPG <=0,75 e saldo absoluto <=0,65 gol/jogo.;BASELINE R13.0
FOR-037;6. Formações e estilos;P1;AUTO+PAINEL;Pressão: identidade observável;"Comparar 28 aparições neutras e clipes cegos; identidade esperada: maior pressão no campo rival com cobertura.";métricas por zona + avaliação humana;Métricas e observação distinguem o estilo sem regra direta de placar.;BASELINE R13.0
FOR-038;6. Formações e estilos;P0;AUTO;Pressão: ausência de dominância;Executar todos contra todos com 4-3-3 neutro.;PPG, saldo, chutes, passes e corners;Faixa de PPG <=0,75 e saldo absoluto <=0,65 gol/jogo.;BASELINE R13.0
FOR-039;6. Formações e estilos;P1;AUTO+PAINEL;Direto: identidade observável;"Comparar 28 aparições neutras e clipes cegos; identidade esperada: menos circulação curta e mais jogo vertical.";métricas por zona + avaliação humana;Métricas e observação distinguem o estilo sem regra direta de placar.;BASELINE R13.0
FOR-040;6. Formações e estilos;P0;AUTO;Direto: ausência de dominância;Executar todos contra todos com 4-3-3 neutro.;PPG, saldo, chutes, passes e corners;Faixa de PPG <=0,75 e saldo absoluto <=0,65 gol/jogo.;BASELINE R13.0
FOR-041;6. Formações e estilos;P1;AUTO+PAINEL;Contra-ataque: identidade observável;"Comparar 28 aparições neutras e clipes cegos; identidade esperada: bloco preparado para acelerar após recuperação.";métricas por zona + avaliação humana;Métricas e observação distinguem o estilo sem regra direta de placar.;BASELINE R13.0
FOR-042;6. Formações e estilos;P0;AUTO;Contra-ataque: ausência de dominância;Executar todos contra todos com 4-3-3 neutro.;PPG, saldo, chutes, passes e corners;Faixa de PPG <=0,75 e saldo absoluto <=0,65 gol/jogo.;BASELINE R13.0
FOR-043;6. Formações e estilos;P1;AUTO+PAINEL;Bloco baixo: identidade observável;"Comparar 28 aparições neutras e clipes cegos; identidade esperada: menor volume ofensivo e proteção territorial.";métricas por zona + avaliação humana;Métricas e observação distinguem o estilo sem regra direta de placar.;BASELINE R13.0
FOR-044;6. Formações e estilos;P0;AUTO;Bloco baixo: ausência de dominância;Executar todos contra todos com 4-3-3 neutro.;PPG, saldo, chutes, passes e corners;Faixa de PPG <=0,75 e saldo absoluto <=0,65 gol/jogo.;BASELINE R13.0
FOR-045;6. Formações e estilos;P1;AUTO+PAINEL;Alas: identidade observável;"Comparar 28 aparições neutras e clipes cegos; identidade esperada: uso de amplitude e ultrapassagens.";métricas por zona + avaliação humana;Métricas e observação distinguem o estilo sem regra direta de placar.;BASELINE R13.0
FOR-046;6. Formações e estilos;P0;AUTO;Alas: ausência de dominância;Executar todos contra todos com 4-3-3 neutro.;PPG, saldo, chutes, passes e corners;Faixa de PPG <=0,75 e saldo absoluto <=0,65 gol/jogo.;BASELINE R13.0
FOR-047;6. Formações e estilos;P1;AUTO+PAINEL;Tiki: identidade observável;"Comparar 28 aparições neutras e clipes cegos; identidade esperada: circulação curta, apoios e paciência.";métricas por zona + avaliação humana;Métricas e observação distinguem o estilo sem regra direta de placar.;BASELINE R13.0
FOR-048;6. Formações e estilos;P0;AUTO;Tiki: ausência de dominância;Executar todos contra todos com 4-3-3 neutro.;PPG, saldo, chutes, passes e corners;Faixa de PPG <=0,75 e saldo absoluto <=0,65 gol/jogo.;BASELINE R13.0
FOR-049;6. Formações e estilos;P1;AUTO;Formação não substitui estilo;Comparar mesma formação com sete estilos.;matriz formação x estilo;Mudanças de estilo alteram comportamento sem invalidar estrutura-base.;PENDENTE 2.5D
FOR-050;6. Formações e estilos;P1;AUTO;Estilo não ignora formação;Comparar mesmo estilo nas 17 formações.;mapas médios;Identidade do estilo permanece, mas ocupação respeita o desenho.;PENDENTE 2.5D
FOR-051;6. Formações e estilos;P0;AUTO+VIS;4-2-4 ofensivo tem risco real;Usar mentalidade ofensiva contra bloco organizado.;presença ofensiva e transições sofridas;Cria sobrecarga, mas expõe espaços e não vira formação dominante.;PENDENTE 2.5D
FOR-052;6. Formações e estilos;P1;AUTO;5-4-1 não vira posse dominante;Usar bloco baixo e equilibrado.;posse territorial, passes e chutes;Produz menor volume contínuo e contra-ataques reconhecíveis.;PENDENTE 2.5D
FOR-053;6. Formações e estilos;P1;AUTO+VIS;Três zagueiros preservam largura;Testar 3-4-3, 3-5-2, 3-1-4-2 e 3-4-2-1.;mapas de alas/zagueiros;Alas oferecem largura e zagueiros cobrem corredor sem formar bloco amorfo.;PENDENTE 2.5D
FOR-054;6. Formações e estilos;P1;AUTO+VIS;Dois atacantes coordenam alturas;Testar formações com dupla de ataque.;distância e corridas da dupla;Atacantes alternam apoio/profundidade e não ocupam o mesmo ponto.;PENDENTE 2.5D
FOR-055;6. Formações e estilos;P0;DIR;Formação estreita protege largura;Testar 4-1-2-1-2 e 4-3-1-2 contra alas.;ajustes laterais e cobertura;Laterais/volantes compensam sem abrir corredor central completamente.;PENDENTE 2.5D
REG-001;7. Regras e goleiros;P0;DIR;Impedimento no instante do passe;Atacante cruza a linha antes e depois do passe.;frame do passe + penúltimo defensor;Decisão usa instante real do passe e parte válida do corpo definida.;BASELINE R13.0
REG-002;7. Regras e goleiros;P0;DIR;Atacante em posição legal por defensor atrasado;Um lateral mantém condição.;frame da linha;"Jogada segue; IA não usa linha média abstrata.";PENDENTE 2.5D
REG-003;7. Regras e goleiros;P0;DIR;Retorno de posição irregular;Atacante volta para receber.;posição no passe e toque;Impedimento marcado se participa após estar irregular.;PENDENTE 2.5D
REG-004;7. Regras e goleiros;P1;DIR;Jogador passivo em impedimento;Atacante irregular não interfere.;trajetória e participantes;Jogada segue conforme regra adotada.;PENDENTE 2.5D
REG-005;7. Regras e goleiros;P1;DIR;Impedimento em rebote do goleiro;Chute defendido volta a atacante irregular.;sequência de contatos;Decisão coerente com a regra implementada e documentada.;PENDENTE 2.5D
REG-006;7. Regras e goleiros;P0;AUTO;Frequência orgânica de impedimentos;Amostra diversa de 200 jogos.;média por partida;"Entre 0,5 e 4 impedimentos/jogo; referência R13 0,805.";BASELINE R13.0
REG-007;7. Regras e goleiros;P1;AUTO+VIS;Armadilha de impedimento contextual;Passador pressionado e linha compacta.;tentativas e resultados;"Tentativas surgem das condições; referência próxima de 3/jogo sem taxa absurda.";BASELINE R13.0
REG-008;7. Regras e goleiros;P0;DIR;Falta por contato real;Bote alcança corpo/perna antes da bola.;ponto e ordem de contatos;"Falta nasce do contato; sem apito por proximidade abstrata.";PENDENTE 2.5D
REG-009;7. Regras e goleiros;P0;DIR;Desarme limpo;Defensor toca a bola primeiro.;ordem dos contatos;"Jogo segue ou bola sai; falta não é marcada automaticamente.";PENDENTE 2.5D
REG-010;7. Regras e goleiros;P1;DIR;Vantagem;Falta ocorre mas ataque mantém oportunidade clara.;timeline de vantagem;Árbitro deixa seguir e volta à falta somente conforme regra definida.;PENDENTE 2.5D
REG-011;7. Regras e goleiros;P1;DIR;Fim da vantagem;Ataque perde benefício rapidamente.;tempo e reinício;Jogo retorna à falta uma vez, sem duplicar evento.;PENDENTE 2.5D
REG-012;7. Regras e goleiros;P1;AUTO;Cartão amarelo proporcional;Falta tática, dura e reincidente.;tipo de falta e sanção;"Sanção responde à gravidade/contexto; não é aleatória pura.";PENDENTE 2.5D
REG-013;7. Regras e goleiros;P0;DIR;Cartão vermelho direto;Entrada grave ou impedir gol.;evento disciplinar;Jogador expulso, equipe fica com dez e IA reorganiza.;PENDENTE 2.5D
REG-014;7. Regras e goleiros;P0;DIR;Segundo amarelo;Jogador já advertido comete nova falta.;histórico do atleta;"Mostra segundo amarelo e vermelho uma vez; remove atleta.";PENDENTE 2.5D
REG-015;7. Regras e goleiros;P0;DIR;Pênalti pela localização;Falta ocorre dentro/fora da área.;coordenada do contato;"Dentro gera pênalti; fora gera falta no ponto correto.";PENDENTE 2.5D
REG-016;7. Regras e goleiros;P0;DIR;Gol cruza completamente a linha;Chute entra por pouco.;coordenada bola/linha;Gol apenas quando bola cruza integralmente.;PENDENTE 2.5D
REG-017;7. Regras e goleiros;P0;DIR;Bola sobre a linha do gol;Bola para parcialmente sobre a linha.;frame congelado;Não marca gol prematuramente.;PENDENTE 2.5D
REG-018;7. Regras e goleiros;P0;DIR;Gol anulado por falta ofensiva;Contato ilegal antes do chute.;cadeia causal;Placar não muda e reinício correto.;PENDENTE 2.5D
REG-019;7. Regras e goleiros;P0;DIR;Gol anulado por impedimento;Passe para atleta irregular que finaliza.;evento + placar;Anulação aparece uma vez e estatística de gol não permanece.;PENDENTE 2.5D
REG-020;7. Regras e goleiros;P1;DIR;Gol contra;Defensor desvia decisivamente para própria meta.;últimos contatos;Autoria e placar corretos conforme regra documentada.;PENDENTE 2.5D
REG-021;7. Regras e goleiros;P1;AUTO;Acréscimos proporcionais;Comparar jogo fluido e jogo com interrupções.;tempo parado/acréscimo;Acréscimo cresce com eventos e relógio encerra corretamente.;PENDENTE 2.5D
REG-022;7. Regras e goleiros;P1;DIR;Intervalo e troca de lados;Chegar ao intervalo.;posições e posse;Lados/tática são preservados e segundo tempo inicia sem estado residual.;PENDENTE 2.5D
REG-023;7. Regras e goleiros;P1;DIR;Fim de jogo durante ataque;Relógio ultrapassa limite com bola viva.;momento do apito;Critério é consistente e não permite sequência infinita.;PENDENTE 2.5D
REG-024;7. Regras e goleiros;P1;DIR;Substituições dentro do limite;Tentar exceder limite definido.;UI + estado;Sistema bloqueia ação inválida e explica o motivo.;PENDENTE 2.5D
REG-025;7. Regras e goleiros;P0;AUTO;Reinício único por infração;Falta e saída ocorrem quase juntas.;contagem de reinícios;Exatamente um reinício é escolhido pela ordem causal.;PENDENTE 2.5D
REG-026;7. Regras e goleiros;P1;AUTO+VIS;Posição-base em posse rival distante;Bola no meio-campo.;posição relativa à área;Goleiro ajusta profundidade sem sair excessivamente.;PENDENTE 2.5D
REG-027;7. Regras e goleiros;P0;AUTO+VIS;Ajuste lateral ao ângulo da bola;Bola muda de corredor.;linha bola-centro do gol;Goleiro acompanha o ângulo e permanece balanceado.;PENDENTE 2.5D
REG-028;7. Regras e goleiros;P0;DIR;Fechamento de ângulo no 1x1;Atacante entra livre.;trajetória do goleiro;Avança gradualmente, reduz alvo e não teleporta.;PENDENTE 2.5D
REG-029;7. Regras e goleiros;P1;DIR;Decisão de ficar no gol;Atacante ainda distante e coberto.;trace de decisão;Não sai sem necessidade.;PENDENTE 2.5D
REG-030;7. Regras e goleiros;P0;AUTO+VIS;Alcance físico de defesa;Chutes em nove zonas do gol.;ponto mão/bola;Defesa só ocorre quando corpo/mãos alcançam a trajetória.;BASELINE R13.0
REG-031;7. Regras e goleiros;P0;VIS;Mergulho lateral próprio;Chute no canto baixo.;pose e sombra;Usa pose de goleiro, com corpo orientado e sombra coerente.;PENDENTE 2.5D
REG-032;7. Regras e goleiros;P0;VIS;Mergulho alto;Chute no canto superior.;pose + ponto de contato;Elevação e extensão correspondem ao ponto da bola.;PENDENTE 2.5D
REG-033;7. Regras e goleiros;P1;DIR;Defesa encaixada;Chute central controlável.;estado pós-contato;Bola permanece com goleiro e atacantes interrompem disputa.;PENDENTE 2.5D
REG-034;7. Regras e goleiros;P0;DIR;Espalmada lateral;Chute forte no canto.;vetor pós-defesa;Desvia para lado plausível, não para o centro automaticamente.;PENDENTE 2.5D
REG-035;7. Regras e goleiros;P0;DIR;Soco em cruzamento;Bola alta com tráfego.;contato + vetor;"Goleiro alcança e soca para zona possível; não atravessa atletas.";PENDENTE 2.5D
REG-036;7. Regras e goleiros;P1;DIR;Erro de saída;Cruzamento difícil sob pressão.;probabilidade e contato;"Pode falhar de forma física; erro não é teleporte ou animação omitida.";PENDENTE 2.5D
REG-037;7. Regras e goleiros;P0;DIR;Colisão com atacante;Disputa aérea na pequena área.;pontos de contato;Resultado respeita trajetórias e pode gerar falta conforme ordem do contato.;PENDENTE 2.5D
REG-038;7. Regras e goleiros;P0;DIR;Saída em bola nas costas;Passe atravessa a defesa.;interceptação espaço-temporal;Goleiro sai somente se chega antes ou aceita risco coerente.;BASELINE R13.0
REG-039;7. Regras e goleiros;P1;DIR;Desistência da saída;Atacante chega primeiro.;mudança de trajetória;Goleiro freia/recuo de modo contínuo, sem inverter instantaneamente.;PENDENTE 2.5D
REG-040;7. Regras e goleiros;P0;DIR;Atuação fora da área;Goleiro corta com os pés/cabeça.;posição e ação;Não usa mãos fora da área e ação possui contato real.;PENDENTE 2.5D
REG-041;7. Regras e goleiros;P0;DIR;Mão fora da área;Forçar tentativa de defesa manual fora.;regra aplicada;Ação é impedida ou gera infração conforme implementação.;PENDENTE 2.5D
REG-042;7. Regras e goleiros;P1;DIR;Distribuição curta com mãos;Goleiro encaixa e lateral está livre.;trajetória de reposição;Bola parte das mãos/posição correta e chega fisicamente.;PENDENTE 2.5D
REG-043;7. Regras e goleiros;P1;DIR;Distribuição longa com mãos;Contra-ataque pelo corredor.;arco + alvo;Lançamento possui arco, alcance e decisão coerentes.;PENDENTE 2.5D
REG-044;7. Regras e goleiros;P1;DIR;Reposição com os pés;Pressão alta fecha curto.;decisão + trajetória;"Pode lançar longo; contato e arco corretos.";PENDENTE 2.5D
REG-045;7. Regras e goleiros;P1;AUTO+VIS;Tempo de retenção;Goleiro segura com equipe vencendo/perdendo.;duração da posse;Tempo varia dentro de limite e não paralisa jogo.;PENDENTE 2.5D
REG-046;7. Regras e goleiros;P0;DIR;Reação a desvio tardio;Chute muda de direção perto do gol.;tempo de reação;"Goleiro pode reagir tarde ou ser vencido; não conhece vetor futuro.";PENDENTE 2.5D
REG-047;7. Regras e goleiros;P1;DIR;Visão bloqueada;Chute atravessa grupo de jogadores.;trace de percepção;Tempo/qualidade da reação piora com obstrução.;PENDENTE 2.5D
REG-048;7. Regras e goleiros;P0;DIR;Defesa em dois tempos;Bola escapa após primeira defesa.;sequência de posse;"Goleiro recupera fisicamente ou adversário disputa; posse não é automática.";PENDENTE 2.5D
REG-049;7. Regras e goleiros;P1;DIR;Reação após rebote na trave;Bola volta à pequena área.;trajetória e decisão;Goleiro reorienta e tenta nova ação sem reset de pose.;PENDENTE 2.5D
REG-050;7. Regras e goleiros;P0;AUTO+VIS;Pênalti: permanência na linha;Antes da cobrança.;posição dos pés;Goleiro respeita posição inicial adotada pela regra.;PENDENTE 2.5D
REG-051;7. Regras e goleiros;P0;AUTO;Pênalti: escolha de lado;Cobranças com seed fixa e variável.;trace de decisão;"Decisão não lê destino futuro; é reproduzível por seed.";PENDENTE 2.5D
REG-052;7. Regras e goleiros;P0;AUTO+VIS;Pênalti: alcance;Bola em cantos e alturas diferentes.;distância mão/bola;Defesa só quando alcance físico permite.;PENDENTE 2.5D
REG-053;7. Regras e goleiros;P1;AUTO;Identidade por atributo;Comparar goleiros de níveis distintos.;taxas por zona;Melhor goleiro melhora decisão/alcance sem invencibilidade.;PENDENTE 2.5D
REG-054;7. Regras e goleiros;P0;VIS;Sem animação de jogador de linha;Executar todas as ações de goleiro.;galeria determinística;Goleiro usa conjunto próprio em defesa, saída, soco e distribuição.;PENDENTE 2.5D
REG-055;7. Regras e goleiros;P1;AUTO+VIS;Retorno à posição após ação;Goleiro defende e jogo continua.;trajetória de recomposição;Retorna ao gol de forma contínua e coerente com a bola.;PENDENTE 2.5D
CAM-001;8. Projeção e câmera;P0;AUTO;Mapeamento campo lógico→palco 2.5D;Amostrar quatro cantos, centro e áreas.;coordenadas lógicas e projetadas;Transformação é contínua e pontos permanecem dentro do gramado visível.;PENDENTE 2.5D
CAM-002;8. Projeção e câmera;P0;VIS;Linhas laterais projetadas;Percorrer toda a lateral próxima e distante.;capturas por segmento;Linhas formam limites contínuos e coincidem com detecção lógica.;PENDENTE 2.5D
CAM-003;8. Projeção e câmera;P0;VIS;Linhas de fundo projetadas;Percorrer ambas as metas.;capturas;Sem desalinhamento entre gol, área e limite físico.;PENDENTE 2.5D
CAM-004;8. Projeção e câmera;P2;VIS;Círculo central;Saída e jogo corrido.;captura central;Geometria não deforma de modo incompatível com perspectiva.;PENDENTE 2.5D
CAM-005;8. Projeção e câmera;P0;VIS;Áreas e marca do pênalti;Comparar perto/longe.;capturas espelhadas;Posições correspondem ao campo lógico e mantêm legibilidade.;PENDENTE 2.5D
CAM-006;8. Projeção e câmera;P0;AUTO+VIS;Escala de atleta por profundidade;Mover mesmo avatar da linha próxima à distante.;escala por y lógico;Escala varia monotonicamente, sem saltos e dentro dos limites definidos.;PENDENTE 2.5D
CAM-007;8. Projeção e câmera;P0;AUTO+VIS;Escala da bola por profundidade;Passe da faixa próxima à distante.;diâmetro por frame;Bola reduz/aumenta com profundidade sem desaparecer ou inflar.;PENDENTE 2.5D
CAM-008;8. Projeção e câmera;P1;VIS;Escala de sombras;Atletas e bola em diferentes profundidades.;galeria;Sombras acompanham escala e não ficam maiores no fundo.;PENDENTE 2.5D
CAM-009;8. Projeção e câmera;P1;VIS;Escala de números;Atletas atravessam o campo.;galeria;Número reduz com profundidade e permanece legível sem dominar o avatar.;PENDENTE 2.5D
CAM-010;8. Projeção e câmera;P1;VIS;Escala de VFX;Impactos perto e longe.;comparação lado a lado;VFX respeitam profundidade e não cobrem atletas distantes.;PENDENTE 2.5D
CAM-011;8. Projeção e câmera;P0;VIS;Ordenação de profundidade;Atletas se cruzam em diagonais.;vídeo em 0,5x;"Objeto mais próximo aparece à frente; sem troca tardia ou piscada.";PENDENTE 2.5D
